Date,Year,Month,Day,AQI
2023-01-01,2023,1,1,147.0
2023-01-02,2023,1,2,188.0
2023-01-03,2023,1,3,214.0
2023-01-04,2023,1,4,204.0
2023-01-05,2023,1,5,223.0
2023-01-06,2023,1,6,255.0
2023-01-07,2023,1,7,204.0
2023-01-08,2023,1,8,198.0
2023-01-09,2023,1,9,137.0
2023-01-10,2023,1,10,158.0
2023-01-11,2023,1,11,213.0
2023-01-12,2023,1,12,196.0
2023-01-13,2023,1,13,134.0
2023-01-14,2023,1,14,240.0
2023-01-15,2023,1,15,198.0
2023-01-16,2023,1,16,214.0
2023-01-17,2023,1,17,236.0
2023-01-18,2023,1,18,264.0
2023-01-19,2023,1,19,256.0
2023-01-20,2023,1,20,231.0
2023-01-21,2023,1,21,175.0
2023-01-22,2023,1,22,168.0
2023-01-23,2023,1,23,170.0
2023-01-24,2023,1,24,175.0
2023-01-25,2023,1,25,209.0
2023-01-26,2023,1,26,232.0
2023-01-27,2023,1,27,254.0
2023-01-28,2023,1,28,244.0
2023-01-29,2023,1,29,176.0
2023-01-30,2023,1,30,154.0
2023-01-31,2023,1,31,225.0
2023-02-01,2023,2,1,227.0
2023-02-02,2023,2,2,180.0
2023-02-03,2023,2,3,198.0
2023-02-04,2023,2,4,201.0
2023-02-05,2023,2,5,226.0
2023-02-06,2023,2,6,185.0
2023-02-07,2023,2,7,177.0
2023-02-08,2023,2,8,233.0
2023-02-09,2023,2,9,236.0
2023-02-10,2023,2,10,200.0
2023-02-11,2023,2,11,172.0
2023-02-12,2023,2,12,165.0
2023-02-13,2023,2,13,146.0
2023-02-14,2023,2,14,203.0
2023-02-15,2023,2,15,224.0
2023-02-16,2023,2,16,199.0
2023-02-17,2023,2,17,201.0
2023-02-18,2023,2,18,185.0
2023-02-19,2023,2,19,191.0
2023-02-20,2023,2,20,183.0
2023-02-21,2023,2,21,201.0
2023-02-22,2023,2,22,123.0
2023-02-23,2023,2,23,172.0
2023-02-24,2023,2,24,219.0
2023-02-25,2023,2,25,197.0
2023-02-26,2023,2,26,208.0
2023-02-27,2023,2,27,194.0
2023-02-28,2023,2,28,188.0
2023-03-01,2023,3,1,174.0
2023-03-02,2023,3,2,205.0
2023-03-03,2023,3,3,262.0
2023-03-04,2023,3,4,281.0
2023-03-05,2023,3,5,260.0
2023-03-06,2023,3,6,246.0
2023-03-07,2023,3,7,139.0
2023-03-08,2023,3,8,136.0
2023-03-09,2023,3,9,156.0
2023-03-10,2023,3,10,145.0
2023-03-11,2023,3,11,163.0
2023-03-12,2023,3,12,186.0
2023-03-13,2023,3,13,213.0
2023-03-14,2023,3,14,199.0
2023-03-15,2023,3,15,165.0
2023-03-16,2023,3,16,146.0
2023-03-17,2023,3,17,117.0
2023-03-18,2023,3,18,118.0
2023-03-19,2023,3,19,97.0
2023-03-20,2023,3,20,90.0
2023-03-21,2023,3,21,91.0
2023-03-22,2023,3,22,96.0
2023-03-23,2023,3,23,86.0
2023-03-24,2023,3,24,73.0
2023-03-25,2023,3,25,88.0
2023-03-26,2023,3,26,98.0
2023-03-27,2023,3,27,97.0
2023-03-28,2023,3,28,117.0
2023-03-29,2023,3,29,125.0
2023-03-30,2023,3,30,106.0
2023-03-31,2023,3,31,82.0
2023-04-01,2023,4,1,108.0
2023-04-02,2023,4,2,93.0
2023-04-03,2023,4,3,86.0
2023-04-04,2023,4,4,86.0
2023-04-05,2023,4,5,87.0
2023-04-06,2023,4,6,99.0
2023-04-07,2023,4,7,149.0
2023-04-08,2023,4,8,182.0
2023-04-09,2023,4,9,156.0
2023-04-10,2023,4,10,132.0
2023-04-11,2023,4,11,112.0
